state_name,votes,year,party
Ohio,3180116.0,2024,gop
Oklahoma,1036213.0,2024,gop
Oregon,910702.0,2024,gop
Pennsylvania,3543308.0,2024,gop
Rhode Island,214406.0,2024,gop
South Carolina,1483747.0,2024,gop
South Dakota,272081.0,2024,gop
Tennessee,1966865.0,2024,gop
Texas,6393597.0,2024,gop
Utah,883818.0,2024,gop
Vermont,119395.0,2024,gop
Virginia,2075085.0,2024,gop
Washington,1530923.0,2024,gop
West Virginia,533556.0,2024,gop
Wisconsin,1697626.0,2024,gop
Wyoming,192633.0,2024,gop
Alabama,772412.0,2024,dem
Alaska,139690.0,2024,dem
Arizona,1582860.0,2024,dem
Arkansas,396905.0,2024,dem
California,9276179.0,2024,dem
Colorado,1728159.0,2024,dem
Connecticut,992053.0,2024,dem
Delaware,289758.0,2024,dem
District of Columbia,294185.0,2024,dem
Florida,4683038.0,2024,dem
Georgia,2548017.0,2024,dem
Hawaii,313044.0,2024,dem
Idaho,274972.0,2024,dem
Illinois,3062863.0,2024,dem
Indiana,1163603.0,2024,dem
Iowa,707278.0,2024,dem
Kansas,544853.0,2024,dem
Kentucky,704043.0,2024,dem
Louisiana,766870.0,2024,dem
Maine,435652.0,2024,dem
Maryland,1902577.0,2024,dem
Massachusetts,2126545.0,2024,dem
Michigan,2736533.0,2024,dem
Minnesota,1656979.0,2024,dem
Mississippi,466668.0,2024,dem
Missouri,1200599.0,2024,dem
Montana,231906.0,2024,dem
Nebraska,369995.0,2024,dem
Nevada,705197.0,2024,dem
New Hampshire,418496.0,2024,dem
New Jersey,2220713.0,2024,dem
New Mexico,478802.0,2024,dem
New York,4619195.0,2024,dem
North Carolina,2715375.0,2024,dem
North Dakota,112327.0,2024,dem
Ohio,2533699.0,2024,dem
Oklahoma,499599.0,2024,dem
Oregon,1228410.0,2024,dem
Pennsylvania,3423042.0,2024,dem
Rhode Island,285156.0,2024,dem
South Carolina,1028452.0,2024,dem
South Dakota,146859.0,2024,dem
Tennessee,1056265.0,2024,dem
Texas,4835250.0,2024,dem
Utah,562566.0,2024,dem
Vermont,235791.0,2024,dem
Virginia,2335395.0,2024,dem
Washington,2245849.0,2024,dem
West Virginia,214309.0,2024,dem
Wisconsin,1668229.0,2024,dem
Wyoming,69527.0,2024,dem
